Unnamed: 0,COURSE,UPC Code and Acronyms,Municipality_Course,Postal Code Course,Total Course
46,22-23,200 FME,Barcelona,8038.0,3.0
47,22-23,200 FME,Barcelona,8041.0,3.0
48,22-23,200 FME,Barcelona,8042.0,3.0
49,22-23,200 FME,Benicarló,12580.0,1.0
50,22-23,200 FME,Berga,8600.0,1.0
51,22-23,200 FME,Cabrils,8348.0,1.0
52,22-23,200 FME,Caldes de ,8140.0,2.0
53,22-23,200 FME,Calvià,7181.0,1.0
54,22-23,200 FME,Cardona,8261.0,1.0
55,22-23,200 FME,Castellbel,8296.0,1.0
56,22-23,200 FME,Castellbis,8755.0,1.0
57,22-23,200 FME,Castelldef,8860.0,9.0
58,22-23,200 FME,Cerdanyola,8290.0,3.0
59,22-23,200 FME,Corbera de,8757.0,2.0
60,22-23,200 FME,Cornellà d,8940.0,6.0
61,22-23,200 FME,Cornellà d,17844.0,1.0
62,22-23,200 FME,El Masnou,8320.0,2.0
63,22-23,200 FME,El Masnou,9320.0,1.0
64,22-23,200 FME,El Prat de,8820.0,1.0
65,22-23,200 FME,Esparregue,8292.0,1.0
66,22-23,200 FME,Esplugues ,8950.0,5.0
67,22-23,200 FME,Esponellà,17832.0,1.0
68,22-23,200 FME,Font-rubí,8736.0,1.0
69,22-23,200 FME,Franqueses,8520.0,1.0
70,22-23,200 FME,Garriguell,17780.0,1.0
71,22-23,200 FME,Girona,17001.0,1.0
72,22-23,200 FME,Girona,17003.0,1.0
73,22-23,200 FME,Granollers,8401.0,1.0
74,22-23,200 FME,Granollers,8402.0,1.0
75,22-23,200 FME,Hospitalet,8901.0,4.0
76,22-23,200 FME,Hospitalet,8902.0,1.0
77,22-23,200 FME,Hospitalet,8904.0,1.0
78,22-23,200 FME,Hospitalet,8906.0,1.0
79,22-23,200 FME,Hostalets ,8781.0,1.0
80,22-23,200 FME,Igualada,8700.0,4.0
81,22-23,200 FME,Jafre,17143.0,1.0
82,22-23,200 FME,La Fuliola,25332.0,1.0
83,22-23,200 FME,La Garriga,8530.0,1.0
84,22-23,200 FME,La Torre d,8789.0,1.0
85,22-23,200 FME,Laukiz,48111.0,1.0
86,22-23,200 FME,Lleida,25001.0,1.0
87,22-23,200 FME,Lliçà de V,8185.0,1.0
88,22-23,200 FME,Lloret de ,17310.0,1.0
89,22-23,200 FME,Malgrat de,8380.0,1.0
90,22-23,200 FME,Manresa,8242.0,2.0
91,22-23,200 FME,Martorelle,8107.0,1.0
92,22-23,200 FME,Mataró,8302.0,1.0
93,22-23,200 FME,Mataró,8303.0,1.0
94,22-23,200 FME,Mataró,8304.0,1.0
95,22-23,200 FME,Molins de ,8750.0,3.0
96,22-23,200 FME,Mollet del,8100.0,3.0
97,22-23,200 FME,Montcada i,8110.0,2.0
98,22-23,200 FME,Olèrdola,8734.0,1.0
99,22-23,200 FME,Olesa de M,8640.0,1.0
100,22-23,200 FME,Oliva,46780.0,1.0
101,22-23,200 FME,Olot,17800.0,1.0
102,22-23,200 FME,Onil,3430.0,1.0
103,22-23,200 FME,Palma de M,7009.0,1.0
104,22-23,200 FME,Palma de M,7600.0,1.0
105,22-23,200 FME,Pamplona,31008.0,1.0
106,22-23,200 FME,Parets del,8150.0,1.0
107,22-23,200 FME,Parlavà,17133.0,1.0
108,22-23,200 FME,Pineda de ,8397.0,2.0
109,22-23,200 FME,Puig-reig,8692.0,1.0
110,22-23,200 FME,Ribera d'O,25213.0,1.0
111,22-23,200 FME,Ribes de F,17534.0,1.0
112,22-23,200 FME,Ripollet,8291.0,1.0
113,22-23,200 FME,Rubí,8191.0,1.0
114,22-23,200 FME,Sabadell,8203.0,2.0
115,22-23,200 FME,Sabadell,8205.0,2.0
116,22-23,200 FME,Sabadell,8206.0,1.0
117,22-23,200 FME,Sant Anton,8459.0,1.0
118,22-23,200 FME,Sant Boi d,8830.0,1.0
119,22-23,200 FME,Sant Celon,8470.0,1.0
120,22-23,200 FME,Sant Cugat,8172.0,4.0
121,22-23,200 FME,Sant Cugat,8173.0,7.0
122,22-23,200 FME,Sant Cugat,8174.0,1.0
123,22-23,200 FME,Sant Cugat,8195.0,3.0
124,22-23,200 FME,Sant Cugat,8197.0,3.0
125,22-23,200 FME,Sant Cugat,8198.0,1.0
126,22-23,200 FME,Sant Feliu,8980.0,9.0
127,22-23,200 FME,Sant Fost ,8105.0,1.0
128,22-23,200 FME,Sant Fruit,8272.0,1.0
129,22-23,200 FME,Sant Joan ,8970.0,1.0
130,22-23,200 FME,Sant Just ,8960.0,4.0
131,22-23,200 FME,Sant Just ,8980.0,1.0
132,22-23,200 FME,Sant Pere ,8810.0,2.0
133,22-23,200 FME,Sant Pere ,8812.0,1.0
134,22-23,200 FME,Sant Pol d,8395.0,1.0
135,22-23,200 FME,Sant Salva,8253.0,1.0
136,22-23,200 FME,Sant Vicen,8394.0,1.0
137,22-23,200 FME,Sant Vicen,8620.0,1.0
138,22-23,200 FME,Santa Colo,8921.0,2.0
139,22-23,200 FME,Santa Colo,8922.0,1.0
140,22-23,200 FME,Santa Colo,8923.0,1.0
141,22-23,200 FME,Santa Colo,8924.0,1.0
142,22-23,200 FME,Santa Colo,17430.0,2.0
143,22-23,200 FME,Santa Mari,8460.0,1.0
144,22-23,200 FME,Santpedor,8251.0,1.0
145,22-23,200 FME,Sarral,43424.0,1.0
146,22-23,200 FME,Sense Info,76133.0,1.0
147,22-23,200 FME,Sense Info,99999.0,1.0
148,22-23,200 FME,Sitges,8870.0,2.0
149,22-23,200 FME,Teià,8329.0,1.0
150,22-23,200 FME,Terrassa,8221.0,1.0
151,22-23,200 FME,Terrassa,8223.0,1.0
152,22-23,200 FME,Terrassa,8224.0,2.0
153,22-23,200 FME,Terrassa,8225.0,3.0
154,22-23,200 FME,Tiana,8391.0,1.0
155,22-23,200 FME,Tolosa,20400.0,1.0
156,22-23,200 FME,Tona,8551.0,2.0
157,22-23,200 FME,Ullà,17140.0,1.0
158,22-23,200 FME,Valencia,46005.0,1.0
159,22-23,200 FME,Vallirana,8759.0,1.0
160,22-23,200 FME,Valls,43800.0,2.0
161,22-23,200 FME,Vic,8500.0,1.0
162,22-23,200 FME,Viladecans,8840.0,3.0
163,22-23,200 FME,Viladecava,8232.0,1.0
164,22-23,200 FME,Vilafranca,8720.0,3.0
165,22-23,200 FME,Vilanova i,8800.0,5.0
166,22-23,200 FME,Vilassar d,8339.0,1.0
167,22-23,200 FME,Vilassar d,8340.0,1.0
168,22-23,200 FME,Vinyols i ,43391.0,1.0
169,22-23,200 FME,Xirivella,46950.0,1.0
170,22-23,200 FME,Zaragoza,50015.0,1.0
171,22-23,205 ESEIAAT,A Coruña,15009.0,1.0
172,22-23,205 ESEIAAT,Abrera,8630.0,6.0
173,22-23,205 ESEIAAT,Agramunt,25310.0,1.0
174,22-23,205 ESEIAAT,Aguilar de,4714.0,1.0
175,22-23,205 ESEIAAT,Aiguafreda,8591.0,1.0
176,22-23,205 ESEIAAT,Alella,8328.0,5.0
177,22-23,205 ESEIAAT,Alfarràs,25120.0,2.0
178,22-23,205 ESEIAAT,Alpicat,25110.0,1.0
179,22-23,205 ESEIAAT,Ametlla de,8480.0,3.0
180,22-23,205 ESEIAAT,Arenys de ,8350.0,3.0
181,22-23,205 ESEIAAT,Arenys de ,8358.0,3.0
182,22-23,205 ESEIAAT,Argentona,8310.0,2.0
183,22-23,205 ESEIAAT,Artés,8271.0,1.0
184,22-23,205 ESEIAAT,Artziniega,1474.0,1.0
185,22-23,205 ESEIAAT,Badalona,8391.0,1.0
186,22-23,205 ESEIAAT,Badalona,8911.0,9.0
187,22-23,205 ESEIAAT,Badalona,8912.0,8.0
188,22-23,205 ESEIAAT,Badalona,8913.0,3.0
189,22-23,205 ESEIAAT,Badalona,8914.0,5.0
190,22-23,205 ESEIAAT,Badalona,8915.0,4.0
191,22-23,205 ESEIAAT,Badalona,8916.0,1.0
192,22-23,205 ESEIAAT,Badalona,8917.0,12.0
193,22-23,205 ESEIAAT,Badalona,8918.0,3.0
194,22-23,205 ESEIAAT,Badia del ,8214.0,7.0
195,22-23,205 ESEIAAT,Bagà,8695.0,1.0
196,22-23,205 ESEIAAT,Balaguer,25600.0,1.0
197,22-23,205 ESEIAAT,Balsareny,8660.0,3.0
198,22-23,205 ESEIAAT,Banyeres d,43715.0,1.0
199,22-23,205 ESEIAAT,Barberà de,8210.0,24.0
200,22-23,205 ESEIAAT,Barcelona,0.0,1.0
201,22-23,205 ESEIAAT,Barcelona,7500.0,1.0
202,22-23,205 ESEIAAT,Barcelona,8001.0,11.0
203,22-23,205 ESEIAAT,Barcelona,8002.0,2.0
204,22-23,205 ESEIAAT,Barcelona,8003.0,4.0
205,22-23,205 ESEIAAT,Barcelona,8004.0,9.0
206,22-23,205 ESEIAAT,Barcelona,8005.0,21.0
207,22-23,205 ESEIAAT,Barcelona,8006.0,34.0
208,22-23,205 ESEIAAT,Barcelona,8007.0,2.0
209,22-23,205 ESEIAAT,Barcelona,8008.0,4.0
210,22-23,205 ESEIAAT,Barcelona,8009.0,7.0
211,22-23,205 ESEIAAT,Barcelona,8010.0,8.0
212,22-23,205 ESEIAAT,Barcelona,8011.0,16.0
213,22-23,205 ESEIAAT,Barcelona,8012.0,13.0
214,22-23,205 ESEIAAT,Barcelona,8013.0,21.0
215,22-23,205 ESEIAAT,Barcelona,8014.0,18.0
216,22-23,205 ESEIAAT,Barcelona,8015.0,16.0
217,22-23,205 ESEIAAT,Barcelona,8016.0,18.0
218,22-23,205 ESEIAAT,Barcelona,8017.0,32.0
219,22-23,205 ESEIAAT,Barcelona,8018.0,13.0
220,22-23,205 ESEIAAT,Barcelona,8019.0,14.0
221,22-23,205 ESEIAAT,Barcelona,8020.0,9.0
222,22-23,205 ESEIAAT,Barcelona,8021.0,17.0
223,22-23,205 ESEIAAT,Barcelona,8022.0,28.0
224,22-23,205 ESEIAAT,Barcelona,8023.0,24.0
225,22-23,205 ESEIAAT,Barcelona,8024.0,26.0
226,22-23,205 ESEIAAT,Barcelona,8025.0,23.0
227,22-23,205 ESEIAAT,Barcelona,8026.0,14.0
228,22-23,205 ESEIAAT,Barcelona,8027.0,28.0
229,22-23,205 ESEIAAT,Barcelona,8028.0,32.0
230,22-23,205 ESEIAAT,Barcelona,8029.0,25.0
231,22-23,205 ESEIAAT,Barcelona,8030.0,47.0
232,22-23,205 ESEIAAT,Barcelona,8031.0,21.0
233,22-23,205 ESEIAAT,Barcelona,8032.0,17.0
234,22-23,205 ESEIAAT,Barcelona,8033.0,11.0
235,22-23,205 ESEIAAT,Barcelona,8034.0,36.0
236,22-23,205 ESEIAAT,Barcelona,8035.0,12.0
237,22-23,205 ESEIAAT,Barcelona,8036.0,13.0
238,22-23,205 ESEIAAT,Barcelona,8037.0,6.0
239,22-23,205 ESEIAAT,Barcelona,8038.0,8.0
240,22-23,205 ESEIAAT,Barcelona,8041.0,10.0
241,22-23,205 ESEIAAT,Barcelona,8042.0,6.0
242,22-23,205 ESEIAAT,Barcelona,8083.0,1.0
243,22-23,205 ESEIAAT,Barcelona,8173.0,1.0
244,22-23,205 ESEIAAT,Barcelona,8222.0,2.0
245,22-23,205 ESEIAAT,Barcelona,8232.0,1.0
246,22-23,205 ESEIAAT,Barcelona,8291.0,1.0
247,22-23,205 ESEIAAT,Barcelona,8500.0,1.0
248,22-23,205 ESEIAAT,Barcelona,8901.0,1.0
249,22-23,205 ESEIAAT,Barcelona,8903.0,1.0
250,22-23,205 ESEIAAT,Barcelona,8906.0,1.0
251,22-23,205 ESEIAAT,Barcelona,8907.0,1.0
252,22-23,205 ESEIAAT,Barcelona,8980.0,1.0
253,22-23,205 ESEIAAT,Barcelona,24007.0,1.0
254,22-23,205 ESEIAAT,Begues,8859.0,1.0
255,22-23,205 ESEIAAT,Begur,17255.0,2.0
256,22-23,205 ESEIAAT,Benicarló,12580.0,1.0
257,22-23,205 ESEIAAT,Berga,8600.0,1.0
258,22-23,205 ESEIAAT,Bigues i R,8415.0,11.0
259,22-23,205 ESEIAAT,Bigues i R,8416.0,1.0
260,22-23,205 ESEIAAT,Blanes,17300.0,1.0
261,22-23,205 ESEIAAT,Cabrils,8348.0,7.0
262,22-23,205 ESEIAAT,Calaf,8280.0,1.0
263,22-23,205 ESEIAAT,Calafell,43388.0,1.0
264,22-23,205 ESEIAAT,Calafell,43820.0,1.0
265,22-23,205 ESEIAAT,Calafell,43882.0,1.0
266,22-23,205 ESEIAAT,Calders,8275.0,1.0
267,22-23,205 ESEIAAT,Caldes de ,8100.0,1.0
268,22-23,205 ESEIAAT,Caldes de ,8140.0,24.0
269,22-23,205 ESEIAAT,Caldes de ,8415.0,1.0
270,22-23,205 ESEIAAT,Caldes de ,17455.0,3.0
271,22-23,205 ESEIAAT,Caldes d'E,8393.0,1.0
272,22-23,205 ESEIAAT,Calella,8370.0,1.0
273,22-23,205 ESEIAAT,Callús,8262.0,1.0
274,22-23,205 ESEIAAT,Calvià,7181.0,1.0
275,22-23,205 ESEIAAT,Cambrils,43850.0,2.0
276,22-23,205 ESEIAAT,Canovelles,8420.0,4.0
277,22-23,205 ESEIAAT,Capellades,8786.0,1.0
278,22-23,205 ESEIAAT,Cardedeu,8440.0,20.0
279,22-23,205 ESEIAAT,Carme,8787.0,1.0
280,22-23,205 ESEIAAT,Castellar ,8211.0,52.0
281,22-23,205 ESEIAAT,Castellbel,8296.0,2.0
282,22-23,205 ESEIAAT,Castellbis,8755.0,19.0
283,22-23,205 ESEIAAT,Castelldef,8860.0,15.0
284,22-23,205 ESEIAAT,Castellgal,8297.0,1.0
285,22-23,205 ESEIAAT,Castellnou,8251.0,1.0
286,22-23,205 ESEIAAT,Castellón ,12005.0,1.0
287,22-23,205 ESEIAAT,Castell-Pl,17250.0,1.0
288,22-23,205 ESEIAAT,Castellter,8183.0,1.0
289,22-23,205 ESEIAAT,Centelles,8540.0,1.0
290,22-23,205 ESEIAAT,Cerdanyola,8193.0,5.0
291,22-23,205 ESEIAAT,Cerdanyola,8290.0,69.0
292,22-23,205 ESEIAAT,Cervelló,8758.0,5.0
293,22-23,205 ESEIAAT,Cervià de ,17464.0,1.0
294,22-23,205 ESEIAAT,Ciutadella,7760.0,2.0
295,22-23,205 ESEIAAT,Collbató,8293.0,3.0
296,22-23,205 ESEIAAT,Corbera de,8740.0,1.0
297,22-23,205 ESEIAAT,Corbera de,8757.0,4.0
298,22-23,205 ESEIAAT,Cornellà d,8031.0,1.0
299,22-23,205 ESEIAAT,Cornellà d,8940.0,21.0
300,22-23,205 ESEIAAT,Cubelles,8880.0,1.0
301,22-23,205 ESEIAAT,Dosrius,8318.0,1.0
302,22-23,205 ESEIAAT,Dosrius,8319.0,1.0
303,22-23,205 ESEIAAT,El Masnou,8320.0,7.0
304,22-23,205 ESEIAAT,El Palau d,25243.0,1.0
305,22-23,205 ESEIAAT,El Papiol,8754.0,4.0
306,22-23,205 ESEIAAT,El Perelló,43519.0,1.0
307,22-23,205 ESEIAAT,El Pla del,8733.0,1.0
308,22-23,205 ESEIAAT,El Pont de,8254.0,2.0
309,22-23,205 ESEIAAT,El Prat de,8820.0,7.0
310,22-23,205 ESEIAAT,El Vendrel,43700.0,1.0
311,22-23,205 ESEIAAT,Esparregue,8292.0,11.0
312,22-23,205 ESEIAAT,Esplugues ,8950.0,14.0
313,22-23,205 ESEIAAT,Estella-Li,31200.0,1.0
314,22-23,205 ESEIAAT,Figaró-Mon,8590.0,2.0
315,22-23,205 ESEIAAT,Figueres,17600.0,3.0
316,22-23,205 ESEIAAT,Fonollosa,8259.0,1.0
317,22-23,205 ESEIAAT,Franqueses,8520.0,4.0
318,22-23,205 ESEIAAT,Franqueses,8521.0,3.0
319,22-23,205 ESEIAAT,Gavà,8850.0,14.0
320,22-23,205 ESEIAAT,Gelida,8790.0,4.0
321,22-23,205 ESEIAAT,Girona,17001.0,1.0
322,22-23,205 ESEIAAT,Girona,17002.0,1.0
323,22-23,205 ESEIAAT,Girona,17003.0,4.0
324,22-23,205 ESEIAAT,Girona,17004.0,1.0
325,22-23,205 ESEIAAT,Girona,17005.0,2.0
326,22-23,205 ESEIAAT,Gironella,8680.0,3.0
327,22-23,205 ESEIAAT,Granollers,8401.0,10.0
328,22-23,205 ESEIAAT,Granollers,8402.0,14.0
329,22-23,205 ESEIAAT,Granollers,8403.0,2.0
330,22-23,205 ESEIAAT,Granollers,8492.0,1.0
331,22-23,205 ESEIAAT,Gurb,8503.0,1.0
332,22-23,205 ESEIAAT,Hospitalet,8901.0,13.0
333,22-23,205 ESEIAAT,Hospitalet,8902.0,8.0
334,22-23,205 ESEIAAT,Hospitalet,8903.0,7.0
335,22-23,205 ESEIAAT,Hospitalet,8904.0,3.0
336,22-23,205 ESEIAAT,Hospitalet,8905.0,9.0
337,22-23,205 ESEIAAT,Hospitalet,8906.0,10.0
338,22-23,205 ESEIAAT,Hospitalet,8907.0,5.0
339,22-23,205 ESEIAAT,Hospitalet,8908.0,1.0
340,22-23,205 ESEIAAT,Hostalets ,8781.0,1.0
341,22-23,205 ESEIAAT,Igualada,8700.0,9.0
342,22-23,205 ESEIAAT,Inca,7300.0,1.0
343,22-23,205 ESEIAAT,Isona i Co,25657.0,1.0
344,22-23,205 ESEIAAT,Juneda,25430.0,1.0
345,22-23,205 ESEIAAT,La Fuliola,25332.0,1.0
346,22-23,205 ESEIAAT,La Garriga,8530.0,7.0
347,22-23,205 ESEIAAT,La Granada,8792.0,1.0
348,22-23,205 ESEIAAT,La Llagost,8120.0,7.0
349,22-23,205 ESEIAAT,La Palma d,8756.0,1.0
350,22-23,205 ESEIAAT,La Pobla d,8787.0,2.0
351,22-23,205 ESEIAAT,La Pobla d,43140.0,1.0
352,22-23,205 ESEIAAT,La Roca de,8430.0,6.0
353,22-23,205 ESEIAAT,La Torre d,8789.0,1.0
354,22-23,205 ESEIAAT,La Vall d',17176.0,1.0
355,22-23,205 ESEIAAT,La Vall d',17178.0,1.0
356,22-23,205 ESEIAAT,L'Arboç,43720.0,1.0
357,22-23,205 ESEIAAT,L'Escala,17130.0,1.0
358,22-23,205 ESEIAAT,Linyola,25240.0,2.0
359,22-23,205 ESEIAAT,Lladó,17745.0,2.0
360,22-23,205 ESEIAAT,Lleida,25001.0,1.0
361,22-23,205 ESEIAAT,Lleida,25003.0,1.0
362,22-23,205 ESEIAAT,Lleida,25111.0,1.0
363,22-23,205 ESEIAAT,Lliçà d'Am,8186.0,10.0
364,22-23,205 ESEIAAT,Lliçà de V,8185.0,2.0
365,22-23,205 ESEIAAT,Llinars de,8450.0,3.0
366,22-23,205 ESEIAAT,Lloret de ,17310.0,4.0
367,22-23,205 ESEIAAT,Los Realej,38410.0,1.0
368,22-23,205 ESEIAAT,Madrid,28005.0,1.0
369,22-23,205 ESEIAAT,Madrid,28020.0,1.0
370,22-23,205 ESEIAAT,Madrid,28034.0,1.0
371,22-23,205 ESEIAAT,Málaga,29013.0,1.0
372,22-23,205 ESEIAAT,Malgrat de,8380.0,2.0
373,22-23,205 ESEIAAT,Manlleu,8560.0,1.0
374,22-23,205 ESEIAAT,Manresa,8240.0,4.0
375,22-23,205 ESEIAAT,Manresa,8241.0,7.0
376,22-23,205 ESEIAAT,Manresa,8242.0,26.0
377,22-23,205 ESEIAAT,Manresa,8243.0,11.0
378,22-23,205 ESEIAAT,Martorell,8760.0,13.0
379,22-23,205 ESEIAAT,Martorelle,8107.0,6.0
380,22-23,205 ESEIAAT,Masies de ,8508.0,1.0
381,22-23,205 ESEIAAT,Masquefa,8783.0,4.0
382,22-23,205 ESEIAAT,Matadepera,8230.0,65.0
383,22-23,205 ESEIAAT,Mataró,8301.0,6.0
384,22-23,205 ESEIAAT,Mataró,8302.0,16.0
385,22-23,205 ESEIAAT,Mataró,8303.0,7.0
386,22-23,205 ESEIAAT,Mataró,8304.0,8.0
387,22-23,205 ESEIAAT,Mediona,8773.0,1.0
388,22-23,205 ESEIAAT,Moià,8180.0,2.0
389,22-23,205 ESEIAAT,Molins de ,8222.0,1.0
390,22-23,205 ESEIAAT,Molins de ,8750.0,14.0
391,22-23,205 ESEIAAT,Mollerussa,25230.0,1.0
392,22-23,205 ESEIAAT,Mollet del,8100.0,43.0
393,22-23,205 ESEIAAT,Monistrol ,8275.0,1.0
394,22-23,205 ESEIAAT,Monistrol ,8691.0,2.0
395,22-23,205 ESEIAAT,Montcada i,8110.0,17.0
396,22-23,205 ESEIAAT,Montcada i,8290.0,1.0
397,22-23,205 ESEIAAT,Montgat,8390.0,1.0
398,22-23,205 ESEIAAT,Montmeló,8160.0,4.0
399,22-23,205 ESEIAAT,Montornès ,8170.0,6.0
400,22-23,205 ESEIAAT,Monzón,22400.0,1.0
401,22-23,205 ESEIAAT,Móra d'Ebr,43740.0,2.0
402,22-23,205 ESEIAAT,Motril,18600.0,1.0
403,22-23,205 ESEIAAT,Navarcles,8270.0,1.0
404,22-23,205 ESEIAAT,Navàs,8670.0,3.0
405,22-23,205 ESEIAAT,Navata,17744.0,1.0
406,22-23,205 ESEIAAT,Nulles,43887.0,2.0
407,22-23,205 ESEIAAT,Oiartzun,20180.0,1.0
408,22-23,205 ESEIAAT,Olèrdola,8734.0,1.0
409,22-23,205 ESEIAAT,Olesa de B,8739.0,1.0
410,22-23,205 ESEIAAT,Olesa de M,8640.0,25.0
411,22-23,205 ESEIAAT,Olost,8516.0,1.0
412,22-23,205 ESEIAAT,Olot,17800.0,2.0
413,22-23,205 ESEIAAT,Palafolls,8389.0,1.0
414,22-23,205 ESEIAAT,Palau-soli,8184.0,21.0
415,22-23,205 ESEIAAT,Pallejà,8753.0,5.0
416,22-23,205 ESEIAAT,Pallejà,8780.0,9.0
417,22-23,205 ESEIAAT,Palma de M,7006.0,1.0
418,22-23,205 ESEIAAT,Parets del,8150.0,17.0
419,22-23,205 ESEIAAT,Piera,8784.0,4.0
420,22-23,205 ESEIAAT,Pineda de ,8397.0,1.0
421,22-23,205 ESEIAAT,Poio,36995.0,1.0
422,22-23,205 ESEIAAT,Polinyà,8213.0,12.0
423,22-23,205 ESEIAAT,Porqueres,17834.0,1.0
424,22-23,205 ESEIAAT,Premià de ,8330.0,11.0
425,22-23,205 ESEIAAT,Premià de ,8338.0,3.0
426,22-23,205 ESEIAAT,Puigcerdà,17520.0,1.0
427,22-23,205 ESEIAAT,Reus,43202.0,2.0
428,22-23,205 ESEIAAT,Reus,43203.0,2.0
429,22-23,205 ESEIAAT,Reus,43204.0,1.0
430,22-23,205 ESEIAAT,Reus,43205.0,2.0
431,22-23,205 ESEIAAT,Ripoll,17500.0,2.0
432,22-23,205 ESEIAAT,Ripollet,8211.0,1.0
433,22-23,205 ESEIAAT,Ripollet,8291.0,32.0
434,22-23,205 ESEIAAT,Roquetas d,4720.0,1.0
435,22-23,205 ESEIAAT,Roses,17480.0,2.0
436,22-23,205 ESEIAAT,Rubí,8191.0,108.0
437,22-23,205 ESEIAAT,Rubí,8292.0,1.0
438,22-23,205 ESEIAAT,Sabadell,8201.0,40.0
439,22-23,205 ESEIAAT,Sabadell,8202.0,45.0
440,22-23,205 ESEIAAT,Sabadell,8203.0,52.0
441,22-23,205 ESEIAAT,Sabadell,8204.0,14.0
442,22-23,205 ESEIAAT,Sabadell,8205.0,27.0
443,22-23,205 ESEIAAT,Sabadell,8206.0,67.0
444,22-23,205 ESEIAAT,Sabadell,8207.0,33.0
445,22-23,205 ESEIAAT,Sabadell,8208.0,42.0
446,22-23,205 ESEIAAT,Salou,43840.0,1.0
447,22-23,205 ESEIAAT,Salt,17190.0,3.0
448,22-23,205 ESEIAAT,Sant Adrià,8030.0,1.0
449,22-23,205 ESEIAAT,Sant Adrià,8930.0,3.0
450,22-23,205 ESEIAAT,Sant Andre,8392.0,5.0
451,22-23,205 ESEIAAT,Sant Andre,8740.0,10.0
452,22-23,205 ESEIAAT,Sant Anton,8459.0,2.0
453,22-23,205 ESEIAAT,Sant Boi d,8830.0,14.0
454,22-23,205 ESEIAAT,Sant Celon,8470.0,1.0
455,22-23,205 ESEIAAT,Sant Cugat,8022.0,1.0
456,22-23,205 ESEIAAT,Sant Cugat,8172.0,46.0
457,22-23,205 ESEIAAT,Sant Cugat,8173.0,62.0
458,22-23,205 ESEIAAT,Sant Cugat,8174.0,12.0
459,22-23,205 ESEIAAT,Sant Cugat,8185.0,1.0
460,22-23,205 ESEIAAT,Sant Cugat,8195.0,47.0
461,22-23,205 ESEIAAT,Sant Cugat,8196.0,1.0
462,22-23,205 ESEIAAT,Sant Cugat,8197.0,9.0
463,22-23,205 ESEIAAT,Sant Cugat,8198.0,5.0
464,22-23,205 ESEIAAT,Sant Estev,8635.0,3.0
465,22-23,205 ESEIAAT,Sant Feliu,8182.0,5.0
466,22-23,205 ESEIAAT,Sant Feliu,8980.0,21.0
467,22-23,205 ESEIAAT,Sant Fost ,8105.0,15.0
468,22-23,205 ESEIAAT,Sant Fruit,8272.0,9.0
469,22-23,205 ESEIAAT,Sant Hipòl,8512.0,1.0
470,22-23,205 ESEIAAT,Sant Joan ,8250.0,6.0
471,22-23,205 ESEIAAT,Sant Joan ,8970.0,11.0
472,22-23,205 ESEIAAT,Sant Josep,7817.0,1.0
473,22-23,205 ESEIAAT,Sant Julià,8504.0,3.0
474,22-23,205 ESEIAAT,Sant Just ,8960.0,13.0
